2023-01-28 22:30:23,252 INFO t._07_AutoExerciseGetProducts [main] [id:1, name:Blue Top, price:Rs. 500, brand:Polo, category:[usertype:[usertype:Women], category:Tops]]
2023-01-28 22:30:23,279 INFO t._07_AutoExerciseGetProducts [main] [id:2, name:Men Tshirt, price:Rs. 400, brand:H&M, category:[usertype:[usertype:Men], category:Tshirts]]
2023-01-28 22:30:23,319 INFO t._07_AutoExerciseGetProducts [main] [id:3, name:Sleeveless Dress, price:Rs. 1000, brand:Madame, category:[usertype:[usertype:Women], category:Dress]]
2023-01-28 22:30:23,342 INFO t._07_AutoExerciseGetProducts [main] [id:4, name:Stylish Dress, price:Rs. 1500, brand:Madame, category:[usertype:[usertype:Women], category:Dress]]
2023-01-28 22:30:23,364 INFO t._07_AutoExerciseGetProducts [main] [id:5, name:Winter Top, price:Rs. 600, brand:Mast & Harbour, category:[usertype:[usertype:Women], category:Tops]]
2023-01-28 22:30:23,387 INFO t._07_AutoExerciseGetProducts [main] [id:6, name:Summer White Top, price:Rs. 400, brand:H&M, category:[usertype:[usertype:Women], category:Tops]]
2023-01-28 22:30:23,403 INFO t._07_AutoExerciseGetProducts [main] [id:7, name:Madame Top For Women, price:Rs. 1000, brand:Madame, category:[usertype:[usertype:Women], category:Tops]]
2023-01-28 22:30:23,417 INFO t._07_AutoExerciseGetProducts [main] [id:8, name:Fancy Green Top, price:Rs. 700, brand:Polo, category:[usertype:[usertype:Women], category:Tops]]
2023-01-28 22:30:23,438 INFO t._07_AutoExerciseGetProducts [main] [id:11, name:Sleeves Printed Top - White, price:Rs. 499, brand:Babyhug, category:[usertype:[usertype:Kids], category:Tops & Shirts]]
2023-01-28 22:30:23,457 INFO t._07_AutoExerciseGetProducts [main] [id:12, name:Half Sleeves Top Schiffli Detailing - Pink, price:Rs. 359, brand:Babyhug, category:[usertype:[usertype:Kids], category:Tops & Shirts]]
2023-01-28 22:30:23,478 INFO t._07_AutoExerciseGetProducts [main] [id:13, name:Frozen Tops For Kids, price:Rs. 278, brand:Allen Solly Junior, category:[usertype:[usertype:Kids], category:Tops & Shirts]]
2023-01-28 22:30:23,496 INFO t._07_AutoExerciseGetProducts [main] [id:14, name:Full Sleeves Top Cherry - Pink, price:Rs. 679, brand:Kookie Kids, category:[usertype:[usertype:Kids], category:Tops & Shirts]]
