2023-01-29 16:48:58,343 INFO t._07_AutoExerciseGetProducts [main] [id:1, name:Blue Top, price:Rs. 500, brand:Polo, category:[usertype:[usertype:Women], category:Tops]]
2023-01-29 16:48:58,370 INFO t._07_AutoExerciseGetProducts [main] [id:2, name:Men Tshirt, price:Rs. 400, brand:H&M, category:[usertype:[usertype:Men], category:Tshirts]]
2023-01-29 16:48:58,395 INFO t._07_AutoExerciseGetProducts [main] [id:3, name:Sleeveless Dress, price:Rs. 1000, brand:Madame, category:[usertype:[usertype:Women], category:Dress]]
2023-01-29 16:48:58,416 INFO t._07_AutoExerciseGetProducts [main] [id:4, name:Stylish Dress, price:Rs. 1500, brand:Madame, category:[usertype:[usertype:Women], category:Dress]]
2023-01-29 16:48:58,435 INFO t._07_AutoExerciseGetProducts [main] [id:5, name:Winter Top, price:Rs. 600, brand:Mast & Harbour, category:[usertype:[usertype:Women], category:Tops]]
2023-01-29 16:48:58,454 INFO t._07_AutoExerciseGetProducts [main] [id:6, name:Summer White Top, price:Rs. 400, brand:H&M, category:[usertype:[usertype:Women], category:Tops]]
2023-01-29 16:48:58,469 INFO t._07_AutoExerciseGetProducts [main] [id:7, name:Madame Top For Women, price:Rs. 1000, brand:Madame, category:[usertype:[usertype:Women], category:Tops]]
2023-01-29 16:48:58,484 INFO t._07_AutoExerciseGetProducts [main] [id:8, name:Fancy Green Top, price:Rs. 700, brand:Polo, category:[usertype:[usertype:Women], category:Tops]]
2023-01-29 16:48:58,501 INFO t._07_AutoExerciseGetProducts [main] [id:11, name:Sleeves Printed Top - White, price:Rs. 499, brand:Babyhug, category:[usertype:[usertype:Kids], category:Tops & Shirts]]
2023-01-29 16:48:58,519 INFO t._07_AutoExerciseGetProducts [main] [id:12, name:Half Sleeves Top Schiffli Detailing - Pink, price:Rs. 359, brand:Babyhug, category:[usertype:[usertype:Kids], category:Tops & Shirts]]
2023-01-29 16:48:58,537 INFO t._07_AutoExerciseGetProducts [main] [id:13, name:Frozen Tops For Kids, price:Rs. 278, brand:Allen Solly Junior, category:[usertype:[usertype:Kids], category:Tops & Shirts]]
2023-01-29 16:48:58,554 INFO t._07_AutoExerciseGetProducts [main] [id:14, name:Full Sleeves Top Cherry - Pink, price:Rs. 679, brand:Kookie Kids, category:[usertype:[usertype:Kids], category:Tops & Shirts]]
2023-01-29 16:48:58,570 INFO t._07_AutoExerciseGetProducts [main] [id:15, name:Printed Off Shoulder Top - White, price:Rs. 315, brand:Babyhug, category:[usertype:[usertype:Kids], category:Tops & Shirts]]
2023-01-29 16:48:58,583 INFO t._07_AutoExerciseGetProducts [main] [id:16, name:Sleeves Top and Short - Blue & Pink, price:Rs. 478, brand:Babyhug, category:[usertype:[usertype:Kids], category:Dress]]
2023-01-29 16:48:58,607 INFO t._07_AutoExerciseGetProducts [main] [id:18, name:Little Girls Mr. Panda Shirt, price:Rs. 1200, brand:Kookie Kids, category:[usertype:[usertype:Kids], category:Tops & Shirts]]
2023-01-29 16:48:58,623 INFO t._07_AutoExerciseGetProducts [main] [id:19, name:Sleeveless Unicorn Patch Gown - Pink, price:Rs. 1050, brand:Allen Solly Junior, category:[usertype:[usertype:Kids], category:Dress]]
2023-01-29 16:48:58,642 INFO t._07_AutoExerciseGetProducts [main] [id:20, name:Cotton Mull Embroidered Dress, price:Rs. 1190, brand:Kookie Kids, category:[usertype:[usertype:Kids], category:Dress]]
2023-01-29 16:48:58,669 INFO t._07_AutoExerciseGetProducts [main] [id:21, name:Blue Cotton Indie Mickey Dress, price:Rs. 1530, brand:Biba, category:[usertype:[usertype:Kids], category:Dress]]
2023-01-29 16:48:58,706 INFO t._07_AutoExerciseGetProducts [main] [id:22, name:Long Maxi Tulle Fancy Dress Up Outfits -Pink, price:Rs. 1600, brand:Biba, category:[usertype:[usertype:Kids], category:Dress]]
2023-01-29 16:48:58,724 INFO t._07_AutoExerciseGetProducts [main] [id:23, name:Sleeveless Unicorn Print Fit & Flare Net Dress - Multi, price:Rs. 1100, brand:Biba, category:[usertype:[usertype:Kids], category:Dress]]
2023-01-29 16:48:58,744 INFO t._07_AutoExerciseGetProducts [main] [id:24, name:Colour Blocked Shirt – Sky Blue, price:Rs. 849, brand:Allen Solly Junior, category:[usertype:[usertype:Kids], category:Tops & Shirts]]
2023-01-29 16:48:58,761 INFO t._07_AutoExerciseGetProducts [main] [id:28, name:Pure Cotton V-Neck T-Shirt, price:Rs. 1299, brand:H&M, category:[usertype:[usertype:Men], category:Tshirts]]
2023-01-29 16:48:58,782 INFO t._07_AutoExerciseGetProducts [main] [id:29, name:Green Side Placket Detail T-Shirt, price:Rs. 1000, brand:Polo, category:[usertype:[usertype:Men], category:Tshirts]]
2023-01-29 16:48:58,801 INFO t._07_AutoExerciseGetProducts [main] [id:30, name:Premium Polo T-Shirts, price:Rs. 1500, brand:Polo, category:[usertype:[usertype:Men], category:Tshirts]]
2023-01-29 16:48:58,823 INFO t._07_AutoExerciseGetProducts [main] [id:31, name:Pure Cotton Neon Green Tshirt, price:Rs. 850, brand:H&M, category:[usertype:[usertype:Men], category:Tshirts]]
2023-01-29 16:48:58,848 INFO t._07_AutoExerciseGetProducts [main] [id:33, name:Soft Stretch Jeans, price:Rs. 799, brand:Polo, category:[usertype:[usertype:Men], category:Jeans]]
2023-01-29 16:48:58,868 INFO t._07_AutoExerciseGetProducts [main] [id:35, name:Regular Fit Straight Jeans, price:Rs. 1200, brand:H&M, category:[usertype:[usertype:Men], category:Jeans]]
2023-01-29 16:48:58,894 INFO t._07_AutoExerciseGetProducts [main] [id:37, name:Grunt Blue Slim Fit Jeans, price:Rs. 1400, brand:Polo, category:[usertype:[usertype:Men], category:Jeans]]
2023-01-29 16:48:58,911 INFO t._07_AutoExerciseGetProducts [main] [id:38, name:Rose Pink Embroidered Maxi Dress, price:Rs. 2300, brand:Madame, category:[usertype:[usertype:Women], category:Dress]]
2023-01-29 16:48:58,929 INFO t._07_AutoExerciseGetProducts [main] [id:39, name:Cotton Silk Hand Block Print Saree, price:Rs. 3000, brand:Biba, category:[usertype:[usertype:Women], category:Saree]]
2023-01-29 16:48:58,946 INFO t._07_AutoExerciseGetProducts [main] [id:40, name:Rust Red Linen Saree, price:Rs. 3500, brand:Biba, category:[usertype:[usertype:Women], category:Saree]]
2023-01-29 16:48:58,963 INFO t._07_AutoExerciseGetProducts [main] [id:41, name:Beautiful Peacock Blue Cotton Linen Saree, price:Rs. 5000, brand:Madame, category:[usertype:[usertype:Women], category:Saree]]
2023-01-29 16:48:58,991 INFO t._07_AutoExerciseGetProducts [main] [id:42, name:Lace Top For Women, price:Rs. 1400, brand:Mast & Harbour, category:[usertype:[usertype:Women], category:Tops]]
2023-01-29 16:48:59,013 INFO t._07_AutoExerciseGetProducts [main] [id:43, name:GRAPHIC DESIGN MEN T SHIRT - BLUE, price:Rs. 1389, brand:Mast & Harbour, category:[usertype:[usertype:Men], category:Tshirts]]
